Year,County,% Food Insecure,Population,# Uninsured,# Uninsured.1,Homicide Rate
2014,erie,11.9,919086.0,65991.0,8174.0,6.5776532107
2014,essex,10.5,38961.0,3220.0,405.0,
2014,franklin,11.8,51795.0,4727.0,834.0,
2014,fulton,12.1,54925.0,4749.0,521.0,
2014,genesee,9.3,59977.0,5201.0,658.0,
2014,greene,10.8,48673.0,3954.0,467.0,
2014,hamilton,7.7,4778.0,475.0,65.0,
2014,herkimer,10.4,64508.0,5411.0,594.0,
2014,jefferson,13.2,120262.0,9696.0,1376.0,2.7554972169
2014,lewis,10.2,27224.0,2619.0,350.0,
2014,livingston,9.1,64810.0,4235.0,562.0,
2014,madison,8.8,72382.0,5076.0,672.0,
2014,monroe,11.8,747813.0,56655.0,6835.0,6.3633998836
2014,montgomery,11.8,49941.0,4006.0,502.0,
2014,nassau,6.7,1349233.0,101760.0,11682.0,2.2009915413
2014,niagara,10.8,215124.0,17456.0,1994.0,3.3007679567
2014,oneida,11.1,233556.0,18503.0,2241.0,3.5330695308
2014,onondaga,11.4,466852.0,37367.0,5076.0,4.5669638793
2014,ontario,8.2,108519.0,7585.0,988.0,2.0299045539
2014,orange,9.8,374512.0,33210.0,4967.0,2.7929482711
2014,orleans,10.2,42836.0,3640.0,466.0,
2014,oswego,11.6,121700.0,10131.0,1184.0,1.9834857312
2014,otsego,10.3,61709.0,4765.0,535.0,
2014,putnam,5.6,99607.0,7036.0,865.0,1.5787200025
2014,rensselaer,10.4,159835.0,11890.0,1260.0,1.9008446992
2014,rockland,9.3,317757.0,27114.0,4551.0,1.2246191788
2014,st. lawrence,12.5,112232.0,9641.0,1178.0,2.0460017928
2014,saratoga,7.2,222133.0,13334.0,1793.0,0.6620679427
2014,schenectady,10.4,155124.0,12393.0,1520.0,4.5058576149
2014,schoharie,9.6,32099.0,2617.0,304.0,
2014,schuyler,7.9,18514.0,1615.0,179.0,
2014,seneca,9.3,35305.0,2808.0,368.0,
2014,steuben,11.2,99063.0,9049.0,1327.0,1.7352826342
2014,suffolk,6.9,1499273.0,128911.0,15748.0,2.7200236276
2014,sullivan,12.2,76793.0,8117.0,1092.0,1.8476911252
2014,tioga,8.2,50478.0,3758.0,476.0,
2014,tompkins,12.0,102554.0,8083.0,865.0,1.7094771991
2014,ulster,10.2,181791.0,17198.0,1807.0,1.9557943537
2014,warren,9.6,65538.0,5031.0,570.0,
2014,washington,9.1,62934.0,5195.0,615.0,
2014,wayne,9.0,92962.0,7883.0,1179.0,
2014,westchester,9.8,961670.0,87552.0,10268.0,2.8182054856
2014,wyoming,9.4,41892.0,3281.0,413.0,
2014,yates,9.0,25344.0,2231.0,343.0,
2013,albany,9.755002695834012,,19508.302936818996,,
2012,albany,7.766951372344635,,19322.89614964017,,
2011,albany,5.312583110096218,,19649.732247398864,,
2010,albany,2.71747082800949,,19672.20822639842,,
2013,allegany,9.812241682981007,,4399.872852071076,,
2012,allegany,8.749913580678239,,5071.612698792917,,
2011,allegany,7.7216141247900145,,5260.452191770688,,
2010,allegany,6.7063156500549175,,5535.893175173947,,
2013,broome,9.504978361088874,,19130.922141028434,,
2012,broome,7.400387261800173,,21080.7477169041,,
2011,broome,4.668785026197627,,22999.76753719407,,
2010,broome,2.0504051509791714,,24982.658349347268,,
2013,cattaraugus,8.613068515181036,,8189.844516742231,,
2012,cattaraugus,6.5403348744829515,,8690.699857223663,,
2011,cattaraugus,3.8871852450241127,,9184.580867894221,,
2010,cattaraugus,1.500483370850004,,9669.078245805278,,
2013,cayuga,7.1682742423289945,,7516.503007765559,,
2012,cayuga,4.57335317322734,,7978.021680212655,,
2011,cayuga,1.301508328873727,,8776.196214595157,,
2010,cayuga,0.0,,9400.596731481215,,
2013,chautauqua,9.44075119657191,,10538.27069243771,,
2012,chautauqua,7.906344210637541,,10983.272061780111,,
2011,chautauqua,6.372032479805861,,11265.393592684151,,
2010,chautauqua,4.836646090032848,,11691.511357480586,,
